15:29:38 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:29:38 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:29:58 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:29:59 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:30:19 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:30:19 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:30:39 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:30:39 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:30:59 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:31:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:31:20 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:31:20 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:31:40 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:31:40 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:32:00 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:32:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:32:20 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:32:20 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:32:41 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:32:41 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:33:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:33:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:33:21 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:33:21 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:33:41 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:33:41 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:34:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:34:02 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:34:22 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:34:22 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:34:42 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:34:42 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:35:02 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:35:02 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:35:22 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:35:22 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:35:43 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:35:43 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:36:03 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:36:03 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:36:23 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:36:23 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:36:44 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:36:44 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:37:04 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:37:04 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:37:24 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:37:24 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:37:44 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:37:44 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:38:05 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:38:05 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:38:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:38:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:38:45 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:38:45 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:39:05 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
